TIMESTAMP,GPP_NT_VUT_REF,TA_F,SW_IN_F,VPD_F
1997-01-03,-0.242279,0.278,74.069,2.243
1997-01-04,0.246635,-1.876,58.069,1.381
1997-01-05,0.519542,-4.955,80.798,1.155
1997-01-06,0.0182312,-4.484,59.552,0.838
1997-01-07,0.0777376,-3.154,45.489,1.329
1997-01-08,-0.483547,-2.451,76.654,1.867
1997-01-09,-0.37946,-2.433,47.62,1.436
1997-01-10,-0.551929,-3.094,39.644,0.776
1997-01-11,-0.54446,-4.489,85.211,1.749
1997-01-12,-1.01659,-4.179,97.536,3.046
1997-01-13,-0.743105,-1.853,88.286,3.899
1997-01-14,-0.526969,-0.118,88.17,4.238
1997-01-15,-0.540843,1.259,88.349,4.427
1997-01-16,-0.191985,1.585,88.914,4.323
1997-01-17,-0.18009,0.446,90.219,3.749
1997-01-18,-0.235092,-1.908,86.42,3.111
1997-01-19,-0.0326212,-1.154,43.226,2.168
1997-01-20,-0.0460417,-1.349,26.781,0.04
1997-01-21,0.243494,-0.003,74.98,0.4
1997-01-22,0.167779,2.339,62.648,2.621
1997-01-23,0.924027,2.59,61.296,2.74
1997-01-24,0.102151,1.023,65.409,2.904
1997-01-25,0.202503,-0.514,89.384,2.592
1997-01-26,0.391633,-0.551,79.13,2.27
1997-01-27,0.0184018,-1.777,99.96,2.028
1997-01-28,-0.0351724,-2.435,100.66,1.908
1997-01-29,-4.61463e-4,-2.669,106.712,2.416
1997-01-30,0.313997,-1.789,110.547,3.202
1997-01-31,0.230657,-2.095,112.714,3.088
1997-02-01,0.0973555,-2.565,114.546,2.766
1997-02-02,0.220662,-2.739,118.151,3.344
1997-02-03,0.241276,-3.158,103.917,2.935
1997-02-04,0.430691,-3.189,102.472,2.912
1997-02-05,1.03755,-2.262,59.993,2.203
1997-02-06,-0.186386,-4.537,128.212,1.475
1997-02-07,-0.0883425,-0.458,124.68,3.831
1997-02-08,0.108176,-0.119,129.601,4.364
1997-02-09,0.0740114,-0.208,128.635,4.232
1997-02-10,-0.10582,0.405,132.494,4.164
1997-02-11,0.399245,-0.633,123.677,2.745
1997-02-12,0.492037,-0.538,138.25,0.903
1997-02-13,-0.204911,-2.207,98.039,1.266
1997-02-14,0.163313,-4.04,44.608,0.286
1997-02-15,0.0293262,-3.307,77.695,0.508
1997-02-16,-0.646523,-5.955,151.121,1.067
1997-02-17,-0.0316371,-3.342,143.06,2.118
1997-02-18,-0.174508,-2.784,82.216,1.781
1997-02-19,0.286262,-5.252,121.451,1.024
1997-02-20,-0.0293704,-2.228,107.464,1.041
1997-02-21,0.0528713,-1.632,159.09,2.426
1997-02-22,-0.308915,0.255,160.852,3.558
1997-02-23,-0.332228,1.684,148.887,4.808
1997-02-24,0.0852475,-0.138,128.459,3.017
1997-02-25,1.07641,2.627,124.715,3.338
1997-02-26,1.0266,0.6,79.542,1.535
1997-02-27,-0.637196,-4.117,71.169,0.577
1997-02-28,0.139475,-2.355,168.035,1.554
1997-03-01,1.05616,1.621,106.337,3.321
1997-03-02,1.27806,2.444,182.989,4.384
1997-03-03,1.17358,1.835,99.725,2.886
1997-03-04,1.87961,2.853,118.273,3.217
1997-03-05,0.734383,1.618,94.411,1.747
1997-03-06,0.639941,-2.133,124.603,0.232
1997-03-07,1.37684,-0.079,191.117,2.487
1997-03-08,1.38098,0.693,193.759,3.927
1997-03-09,1.55218,1.976,161.781,4.548
1997-03-10,1.43118,2.278,196.088,4.45
1997-03-11,1.49614,3.147,198.167,4.442
1997-03-12,1.54542,3.136,196.912,4.051
1997-03-13,2.29712,1.368,203.42,2.616
1997-03-14,1.59639,0.51,187.76,3.411
1997-03-15,0.801652,-1.425,121.141,0.423
1997-03-16,1.33735,-0.08,109.314,0.607
1997-03-17,1.24248,1.076,148.535,1.447
1997-03-18,1.82787,2.966,184.393,3.601
1997-03-19,0.232176,-2.363,115.155,0.681
1997-03-20,0.314834,-3.719,102.406,0.587
1997-03-21,-0.453007,-3.986,114.359,0.726
1997-03-22,0.0372593,-3.581,239.112,0.988
1997-03-23,0.775675,-1.179,176.872,2.516
1997-03-24,0.472329,-2.836,138.087,0.441
1997-03-25,0.323221,-2.916,128.883,0.731
1997-03-26,0.696586,-1.014,201.882,1.114
1997-03-27,0.942626,1.393,112.52,1.528
1997-03-28,0.726917,-0.916,82.65,0.635
1997-03-29,0.525522,-5.352,128.278,0.603
1997-03-30,0.24877,-3.821,223.006,0.882
1997-03-31,0.365778,-2.418,250.666,1.271
1997-04-01,0.746961,0.481,251.262,2.513
1997-04-02,1.04483,2.133,255.457,3.492
1997-04-03,1.6663,1.998,150.901,2.471
1997-04-04,0.87205,-2.357,104.974,0.874
1997-04-05,0.780324,-3.194,126.998,0.533
1997-04-06,0.647729,-3.264,85.939,0.557
1997-04-08,0.896696,-0.724,273.802,3.539
1997-04-09,2.16016,1.965,271.696,4.496
1997-04-10,2.70098,2.486,256.789,3.156
1997-04-11,2.29647,1.6,249.305,2.794
1997-04-12,0.696308,-4.006,286.981,0.939
1997-04-13,1.05211,-2.745,281.434,2.178
1997-04-14,1.55439,-0.375,247.586,3.395
1997-04-15,0.73554,-1.984,105.035,0.921
1997-04-16,0.078465,-4.901,203.639,1.171
1997-04-17,0.353323,-4.962,292.425,2.254
1997-04-18,0.772213,-0.345,288.822,3.837
1997-04-19,0.846585,0.1,289.852,3.167
1997-04-20,0.258837,-3.503,133.047,0.45
1997-04-21,0.498375,-5.005,282.047,0.735
1997-04-22,-0.0687412,-4.791,204.509,1.161
1997-04-23,0.15043,-2.353,298.318,2.222
1997-04-24,0.873216,0.294,296.983,4.07
1997-04-25,1.26334,2.36,291.315,4.723
1997-04-26,1.14968,1.806,150.745,1.349
1997-04-27,1.18132,0.602,71.404,0.159
1997-04-28,2.35483,1.873,197.909,1.601
1997-04-29,2.01001,-0.068,158.929,0.607
1997-04-30,2.03166,-0.266,126.756,0.185
1997-05-01,2.19873,0.795,280.007,1.348
1997-05-02,2.25886,3.848,314.662,4.778
1997-05-03,2.44699,7.015,311.056,5.75
1997-05-04,2.89394,6.628,224.872,3.636
1997-05-05,2.5968,5.116,101.054,2.75
1997-05-06,3.00131,2.118,141.081,1.942
1997-05-07,1.54191,-2.644,171.172,0.343
1997-05-08,1.46125,-2.683,129.444,0.524
1997-05-09,2.08526,-1.03,217.505,1.55
1997-05-10,3.73357,2.288,288.509,2.427
1997-05-11,3.19978,4.732,223.847,3.865
1997-05-12,2.44088,5.157,114.24,2.186
1997-05-13,3.9419,6.747,168.248,3.258
1997-05-14,3.70838,9.351,219.883,6.053
1997-05-15,2.97947,9.232,250.086,5.454
1997-05-16,3.17424,9.395,264.792,6.483
1997-05-17,3.47474,9.891,275.587,6.7
1997-05-18,3.6803,6.902,167.192,2.823
1997-05-19,4.44113,7.512,308.813,5.348
1997-05-20,3.71179,6.234,180.176,3.436
1997-05-21,3.93119,3.661,266.959,1.585
1997-05-22,4.0395200000000004,2.273,162.057,1.505
1997-05-24,3.81442,4.458,215.476,1.018
1997-05-25,4.38365,6.164,220.411,1.677
1997-05-26,4.81691,6.225,282.809,2.777
1997-05-27,4.17093,6.969,343.961,4.305
1997-05-28,3.13781,3.504,284.62,3.083
1997-05-29,3.60223,4.357,337.904,5.497
1997-05-30,3.72211,4.985,315.503,4.646
1997-05-31,2.76493,4.758,345.608,4.326
1997-06-01,2.74422,3.27,112.943,0.748
1997-06-02,3.73508,4.909,158.431,1.834
1997-06-03,2.91877,5.364,154.748,1.295
1997-06-04,4.03348,6.991,268.057,3.267
1997-06-05,4.42325,8.937,223.743,4.557
1997-06-06,3.14031,9.163,267.128,3.767
1997-06-07,2.13368,12.294,316.313,6.866
1997-06-08,2.54812,10.181,188.978,2.847
1997-06-09,2.27566,10.303,266.75,4.33
1997-06-10,3.70968,10.403,281.475,4.545
1997-06-11,2.65475,9.184,212.194,3.06
1997-06-12,2.40591,9.879,240.217,3.285
1997-06-13,3.40193,9.195,205.936,2.038
1997-06-14,2.81441,8.111,114.014,1.176
1997-06-15,3.91005,7.682,341.126,2.131
1997-06-16,5.00305,8.983,212.131,1.988
1997-06-17,4.78814,7.151,219.703,1.246
1997-06-18,6.19114,5.904,242.625,1.59
1997-06-19,2.81531,5.455,78.188,0.736
1997-06-20,6.09897,4.915,226.884,0.805
1997-06-21,6.03296,8.339,130.876,2.97
1997-06-22,2.89184,2.279,57.955,0.067
1997-06-23,7.36685,3.998,245.428,1.436
1997-06-24,6.64739,3.528,166.953,1.031
1997-06-25,9.71934,5.796,276.33,3.674
1997-06-26,6.89035,6.204,104.493,0.913
1997-06-27,6.17148,5.927,89.44,0.394
1997-07-01,8.92755,5.607,248.874,1.58
1997-07-02,7.21394,7.673,103.866,3.151
1997-07-03,9.6093,8.527,148.089,2.354
1997-07-04,6.09541,7.093,143.718,0.286
1997-07-05,4.56982,3.402,99.276,0.132
1997-07-06,4.39155,4.025,88.334,0.19
1997-07-07,3.94314,3.133,122.943,0.963
1997-07-09,4.62583,9.618,334.947,4.542
1997-07-10,4.68649,8.91,229.608,3.285
1997-07-11,4.37672,7.669,132.252,1.298
1997-07-12,5.45183,8.42,162.765,2.43
1997-07-13,5.49106,11.255,236.163,5.273
1997-07-14,5.63578,10.379,187.013,3.231
1997-07-15,6.08087,8.144,171.683,1.77
1997-07-16,7.21589,11.055,330.629,5.707
1997-07-17,4.67727,10.861,122.25,2.713
1997-07-18,6.49246,5.933,139.716,1.053
1997-07-19,5.21061,4.603,78.009,0.605
1997-07-20,6.47396,4.759,163.875,1.007
1997-07-21,6.91291,5.915,186.387,2.244
1997-07-22,6.60016,9.45,311.755,5.348
1997-07-23,6.14203,9.721,148.238,2.361
1997-07-24,6.53783,9.84,147.88,1.846
1997-07-25,5.97291,7.639,110.894,0.592
1997-07-26,6.64336,7.713,151.05,0.888
1997-07-27,6.24191,10.2,307.199,3.824
1997-07-28,7.05568,11.508,296.432,2.916
1997-07-29,6.38184,9.211,199.25,2.653
1997-07-30,6.53056,11.603,313.621,6.066
1997-07-31,8.69538,10.616,199.148,2.978
1997-08-01,6.1587,4.865,107.516,0.45
1997-08-02,5.06329,7.522,74.508,0.022
1997-08-03,8.51146,10.564,184.341,1.898
1997-08-04,7.88476,13.452,263.42,5.516
1997-08-05,7.64655,14.922,281.987,6.184
1997-08-06,6.62053,11.534,147.081,1.362
1997-08-07,4.73805,10.77,117.851,1.007
1997-08-08,5.12537,10.487,154.904,1.324
1997-08-09,5.26264,11.285,273.98,4.388
1997-08-10,4.60493,12.646,297.273,7.786
1997-08-11,4.56777,14.495,246.595,7.298
1997-08-12,4.49237,13.417,292.668,5.582
1997-08-13,3.48119,12.776,250.686,5.354
1997-08-14,3.4571,12.656,225.71,4.031
1997-08-15,2.8078,12.488,232.121,4.984
1997-08-16,3.93382,10.742,239.394,3.491
1997-08-17,1.93623,11.023,73.349,3.835
1997-08-18,4.62706,11.944,186.893,4.832
1997-08-19,6.60496,12.057,264.19,5.356
1997-08-20,7.46898,10.944,249.22,4.94
1997-08-21,8.14038,10.639,271.58,5.14
1997-08-22,7.9342,11.169,249.842,5.134
1997-08-23,8.7916,12.279,258.092,5.623
1997-08-24,7.85158,12.775,241.17,5.843
1997-08-25,7.52268,12.775,213.689,4.49
1997-08-26,5.88766,10.936,155.088,2.088
1997-08-27,5.87584,11.638,176.449,3.893
1997-08-28,3.41431,8.457,58.541,2.387
1997-08-29,6.90438,3.316,141.873,0.824
1997-08-30,5.89462,5.54,115.47,1.544
1997-08-31,4.82181,11.434,254.97,4.116
1997-09-01,4.34661,13.673,249.958,8.397
1997-09-02,3.59494,11.144,199.525,3.633
1997-09-03,3.03939,11.15,190.083,1.78
1997-09-04,3.65241,11.203,194.587,3.433
1997-09-05,3.67862,12.104,224.223,3.861
1997-09-06,2.77373,11.005,155.834,2.216
1997-09-07,2.46301,8.405,124.058,0.171
1997-09-08,4.74593,8.828,235.506,2.037
1997-09-09,5.31154,9.38,238.135,4.461
1997-09-10,5.5262,7.43,238.623,3.58
1997-09-11,5.9003,11.078,223.069,6.629
1997-09-12,5.63518,11.266,195.463,5.094
1997-09-13,3.34046,7.564,36.63,0.343
1997-09-14,4.82864,2.686,231.296,0.931
1997-09-15,3.10747,4.88,231.934,2.931
1997-09-16,2.75742,7.69,227.731,4.774
1997-09-17,2.79661,8.311,225.589,5.131
1997-09-18,3.77053,8.959,222.354,5.667
1997-09-19,4.07107,7.512,219.44,4.941
1997-09-20,3.61425,7.286,207.61,2.51
1997-09-21,3.17701,7.503,207.228,2.627
1997-09-22,3.79428,7.111,171.61,2.529
1997-09-23,3.47818,6.798,153.971,1.578
1997-09-24,3.47703,6.24,192.399,2.127
1997-09-25,4.14612,7.483,201.247,4.01
1997-09-26,3.54206,7.753,200.558,4.074
1997-09-27,4.02347,7.313,202.583,4.796
1997-09-28,4.61726,6.835,181.763,4.409
1997-09-29,4.01978,6.819,194.007,4.971
1997-09-30,4.07238,8.169,174.635,5.367
1997-10-01,3.65304,8.438,89.363,3.615
1997-10-02,2.98367,7.93,98.221,2.869
1997-10-03,3.52516,4.895,186.154,3.301
1997-10-05,3.81281,8.547,183.649,6.955
1997-10-06,3.96261,8.335,174.256,5.675
1997-10-07,2.69939,8.943,51.465,3.118
1997-10-08,4.07168,8.851,149.264,2.695
1997-10-09,3.20064,9.641,136.644,4.292
1997-10-10,3.192,8.079,51.672,2.105
1997-10-11,4.36758,3.911,144.001,2.045
1997-10-12,2.69063,2.261,53.394,0.505
1997-10-13,3.01666,-1.555,74.59,0.411
1997-10-14,0.817008,-2.526,89.484,0.639
1997-10-15,1.56071,-2.224,81.587,0.462
1997-10-16,1.17656,0.301,56.205,0.123
1997-10-17,3.30129,3.01,153.523,2.102
1997-10-18,4.72837,6.453,146.505,4.163
1997-10-19,4.31925,6.587,151.355,4.894
1997-10-20,2.9229,4.854,144.211,3.63
1997-10-21,2.56768,4.037,70.136,1.149
1997-10-22,1.9568,2.928,145.106,1.626
1997-10-23,2.11588,2.65,145.15,2.09
1997-10-24,1.03575,-0.598,122.577,0.205
1997-10-25,1.08839,-1.471,139.346,1.776
1997-10-26,2.23734,0.442,121.969,2.243
1997-10-27,1.70325,-1.496,97.843,0.605
1997-10-28,1.06141,-3.362,88.658,0.399
1997-10-29,1.4877,-2.478,137.7,2.948
1997-10-30,2.03378,-0.211,124.829,4.977
1997-11-01,3.21362,1.386,119.764,2.134
1997-11-02,3.30402,1.425,119.089,2.043
1997-11-03,3.75381,2.353,119.746,2.714
1997-11-04,3.82819,2.402,108.009,2.651
1997-11-05,2.23346,3.662,53.658,3.057
1997-11-06,2.37027,7.992,83.598,4.348
1997-11-07,3.45815,4.573,78.607,2.34
1997-11-08,2.56004,0.539,48.726,0.484
1997-11-09,2.66855,-0.589,21.889,0.657
1997-11-10,3.19455,-1.765,77.624,0.549
1997-11-11,2.19636,-0.36,92.692,1.381
1997-11-12,-0.105592,-0.013,13.889,0.885
1997-11-13,2.06812,-1.846,58.163,0.581
1997-11-14,2.2117,-3.988,95.502,0.588
1997-11-15,2.42576,-2.641,84.988,1.057
1997-11-16,1.66247,-0.001,39.654,0.184
1997-11-17,1.66843,-1.315,98.423,1.105
1997-11-18,2.12259,-1.024,98.285,3.116
1997-11-19,1.32825,-2.131,98.618,2.676
1997-11-20,1.13667,-1.467,70.858,1.739
1997-11-21,0.929055,-1.63,65.457,0.583
1997-11-22,-0.380885,-1.802,94.055,2.088
1997-11-23,-1.16963,-3.099,46.484,1.461
1997-11-24,-1.48615,-1.373,78.253,3.138
1997-11-25,-0.664261,0.37,65.785,2.927
1997-11-26,-0.524659,0.062,85.965,1.972
1997-11-27,-0.715729,0.171,78.792,2.229
1997-11-28,-0.620473,0.393,76.017,1.882
1997-11-29,-0.175722,-0.189,47.508,0.297
1997-11-30,-0.111959,-1.286,24.479,0.402
1997-12-01,1.2663,-2.169,28.229,0.063
1997-12-02,-0.12895,-2.613,50.709,1.214
1997-12-03,1.04482,-5.634,33.836,0.357
