siteid,TIMESTAMP,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,TA_F_MDS,SW_IN_F_MDS,LW_IN_F_MDS,VPD_F_MDS,CO2_F_MDS,PPFD_IN,GPP_NT_VUT_REF,USTAR
CH-Dav,2006-05-30,-0.776,183.144,270.707,1.077,82.815,5,3.357,-0.776,183.144,295.751,1.077,360.869,372.752,1.81985,0.651210043478
CH-Dav,2006-05-31,-1.081,266.34,257.157,0.77,83.214,1.6,2.568,-1.081,266.34,289.458,0.77,355.607,499.978327896,1.43913,0.463358681818
CH-Dav,2006-06-01,-0.671,165.87,272.287,0.938,83.667,1.9,2.24,-0.671,165.87,278.013,0.938,351.407,342.525271694,1.37258,0.445075844444
CH-Dav,2006-06-02,-0.638,192.126,265.255,1.223,83.857,0.1,2.514,-0.638,192.126,287.734,1.223,377.912,379.002069479,2.49751,0.593154682927
CH-Dav,2006-06-03,1.928,201.997,258.813,1.676,84.054,0.2,1.749,1.928,201.997,306.349,1.676,366.873,406.710375708,2.79164,0.455304094872
CH-Dav,2006-06-04,2.781,104.332,272.575,0.761,83.936,6.4,1.463,2.781,104.332,320.346,0.761,345.444,201.78554225,2.55045,0.344798390909
CH-Dav,2006-06-05,3.239,144.409,272.123,1.385,83.922,1,1.38,3.239,144.409,317.751,1.385,367.739,287.831674354,3.06926,0.326458026316
CH-Dav,2006-06-06,3.7,245.111,271.167,1.981,84.026,2.7,2.189,3.7,245.111,305.959,1.981,360.467,467.423877062,4.28662,0.42295906383
CH-Dav,2006-06-07,4.722,359.532,266.24,4.1,84.198,0,1.774,4.722,359.532,285.796,4.1,372.449,712.547304167,5.11687,0.435663505263
CH-Dav,2006-06-08,7.135,319.976,277.035,4.986,84.25,0,2.059,7.135,319.976,281.099,4.986,371.452,652.676946542,5.15015,0.4115028825
CH-Dav,2006-06-09,8.338,282.872,282.422,5.042,84.193,0,2.057,8.338,282.872,288.428,5.042,371.775,571.129479917,6.35301,0.465201711111
CH-Dav,2006-06-10,10.7,317.24,295.166,6.674,84.175,0,2.155,10.7,317.24,296.204,6.674,371.321,650.909021563,6.13116,0.495344458537
CH-Dav,2006-06-11,12.072,347.605,296.339,7.861,84.304,0,1.956,12.072,347.605,296.339,7.861,373.455,700.589675083,5.20011,0.418482953488
CH-Dav,2006-06-12,13.423,342.985,290.035,7.575,84.484,0,2.246,13.423,342.985,293.453,7.575,372.167,698.5647625,5.62952,0.431270071429
CH-Dav,2006-06-13,14.299,352.427,290.839,8.02,84.377,0,1.93,14.299,352.427,290.839,8.02,374.327,688.04277056,6.53447,0.422436342222
CH-Dav,2007-04-18,6.883,172.726,285.634,3.302,83.74,0,1.897,6.883,172.726,285.634,3.302,386.78,360.572925063,4.14913,0.438085052941
CH-Dav,2007-04-19,7.236,277.153,247.476,4.586,83.607,0,2.005,7.236,277.153,247.476,4.586,384.146,551.749645146,3.2889,0.384068988095
CH-Dav,2007-04-20,8.198,281.091,238.418,5.544,83.64,0,1.792,8.198,281.091,238.418,5.544,381.463,559.721570917,3.10985,0.428765066667
CH-Dav,2007-04-21,8.694,273.895,241.791,6.126,83.787,0,2.219,8.694,273.895,241.791,6.126,380.985,547.04339575,3.11932,0.48808540303
CH-Dav,2007-04-22,9.811,287.966,239.436,7.688,84.09,0,1.85,9.811,287.966,239.436,7.688,381.097,570.324452771,3.59755,0.371074134146
CH-Dav,2007-04-23,9.742,251.875,262.44,6.291,84.262,0,2.01,9.742,251.875,262.44,6.291,380.509,510.694453562,3.52212,0.429861977143
CH-Dav,2007-04-24,9.84,164.254,286.241,5.709,84.052,0,1.533,9.84,164.254,286.241,5.709,378.38,346.737819438,4.17652,0.311274514286
CH-Dav,2007-04-25,11.353,294.134,260.542,7.988,83.678,0,1.926,11.353,294.134,260.542,7.988,380.122,592.104363125,4.06346,0.381418592308
CH-Dav,2007-04-26,10.427,195.407,294.25,5.325,83.714,9.9,1.791,10.427,195.407,294.25,5.325,362.942,405.858873563,4.43602,0.343565072093
CH-Dav,2007-04-27,8.985,198.051,316.268,3.459,84.012,0.2,2.03,8.985,198.051,316.268,3.459,368.277,376.572388833,3.19515,0.32014169
CH-Dav,2007-04-28,10.081,224.928,283.489,5.144,84.014,0,1.584,10.081,224.928,283.489,5.144,380.388,460.748762583,3.87219,0.390899994595
CH-Dav,2007-04-29,9.893,271.58,290.633,5.174,83.595,0.6,2.062,9.893,271.58,290.633,5.174,368.896,546.8649445,3.64675,0.4797771175
CH-Dav,2007-04-30,6.302,131.068,274.879,2.145,83.144,1.6,2.118,6.302,131.068,274.879,2.145,363.653,272.432810417,5.24804,0.356118686842
CH-Dav,2007-05-01,6.881,166.608,271.459,3.411,83.059,0.5,1.552,6.881,166.608,271.459,3.411,364.701,346.140500771,4.7192,0.335356791667
CH-Dav,2007-05-02,6.578,167.357,270.576,3.64,83.052,0.1,1.346,6.578,167.357,270.576,3.64,369.725,347.781826438,6.49754,0.436125404762
CH-Dav,2007-05-03,5.042,153.053,271.886,3.121,83.033,0.7,1.034,5.042,153.053,271.886,3.121,371.609,313.590625069,5.89794,0.2418186975
CH-Dav,2007-05-04,5.365,118.01,300.56,2.469,82.602,1.5,1.048,5.365,118.01,300.56,2.469,376.058,254.446165979,6.3517,0.324151797436
CH-Dav,2007-05-05,3.281,89.586,310.271,0.55,82.634,3.2,1.8,3.281,89.586,310.271,0.55,356.518,181.882806188,4.35293,0.2548569
CH-Dav,2007-05-06,3.57,59.594,328.206,0.452,83.339,2.1,1.493,3.57,59.594,328.206,0.452,312.983,106.613123625,5.03801,0.346283132558
CH-Dav,2007-05-07,5.485,163.184,305.954,2.173,83.789,0,1.365,5.485,163.184,305.954,2.173,362.36,322.523161125,6.30106,0.317729182857
CH-Dav,2007-05-08,7.642,205.992,317.187,2.854,83.705,1.4,2.52,7.642,205.992,317.187,2.854,356.962,407.682347937,6.90446,0.489619975
CH-Dav,2007-05-09,8.221,221.504,288.948,3.365,83.834,2,2.616,8.221,221.504,288.948,3.365,365.622,439.046931938,5.44786,0.49753605
CH-Dav,2007-05-10,9.017,306.704,246.864,6.737,83.795,0,2.034,9.017,306.704,246.864,6.737,380.511,616.093041667,6.21831,0.38144027027
CH-Dav,2007-05-11,10.026,189.01,303.189,5.584,83.355,2.2,3.239,10.026,189.01,303.189,5.584,366.588,394.919136667,4.3677,0.597709788372
CH-Dav,2007-05-12,9.629,271.505,291.765,3.875,83.473,0,2.491,9.629,271.505,291.765,3.875,376.561,548.267992994,4.60248,0.486256928571
CH-Dav,2007-05-13,11.906,183.823,283.456,7.877,83.489,0,2.895,11.906,183.823,283.456,7.877,380.596,386.988423625,5.82622,0.553667575
CH-Dav,2007-05-14,11.589,126.328,320.238,6.738,83.198,0.1,2.856,11.589,126.328,320.238,6.738,379.17,265.419012583,3.41635,0.885690583333
CH-Dav,2007-05-15,2.128,122.706,310.485,1.204,83.38,0.6,3.448,2.128,122.706,310.485,1.204,353.336,244.353297937,4.17296,0.625530361111
CH-Dav,2007-05-16,3.264,261.472,274.98,2.976,83.306,3.1,1.691,3.264,261.472,274.98,2.976,373.52,528.067574188,4.88934,0.357023068293
CH-Dav,2007-05-17,1.787,80.356,324.768,0.285,83.063,13.7,1.664,1.787,94.549,324.768,0.285,354.838,106.735262423,NA,0.3644529375
CH-Dav,2007-05-18,6.191,269.21,276.398,3.34,83.658,0.9,1.682,6.191,269.21,276.398,3.34,356.733,536.53595,6.38898,0.4057425825
CH-Dav,2007-05-19,10.751,330.161,249.427,7.861,83.581,0,1.82,10.751,330.161,249.427,7.861,380.819,664.798179313,4.6254,0.382421493182
CH-Dav,2007-05-20,13.746,307.719,285.008,8.928,83.573,0,1.652,13.746,307.719,285.008,8.928,380.173,618.872375125,3.8742,0.363819439474
CH-Dav,2007-05-21,13.64,263.733,308.953,7.368,83.862,4,1.95,13.64,263.733,308.953,7.368,369.73,521.761694396,2.77952,0.397668081081
CH-Dav,2007-05-22,12.06,211.86,304.927,4.22,84.048,0,1.892,12.06,211.86,304.927,4.22,378.593,434.027724292,3.67194,0.356716620513
CH-Dav,2007-05-23,12.551,260.611,292.234,5.561,83.945,0.4,1.559,12.551,260.611,292.234,5.561,372.339,540.479131965,3.63737,0.401379484848
CH-Dav,2007-05-24,13.351,236.528,315.621,6.365,83.814,6.9,2.089,13.351,236.528,315.621,6.365,365.066,489.614027687,3.29062,0.3660435
CH-Dav,2007-05-25,12.426,197.646,308.149,5.148,83.551,2.1,1.955,12.426,197.646,308.149,5.148,369.562,402.648006208,5.08931,0.41666362
